lemma,frequency
tipo,153
pasar,105
sentir,91
decir,90
dar,77
cosa,76
estar,66
casa,64
tener,60
salir,60
hablar,51
empezar,47
teta,47
miedo,45
dejar,45
querer,42
momento,39
dormir,39
producto,39
comprar,36
culpa,36
marido,34
poder,34
viste,34
tema,33
ver,32
capaz,30
mes,30
gente,30
mamá,28
hora,27
bebé,27
amiga,27
clave,27
principio,27
hospital,24
tiempo,24
llegar,24
tenés,24
venir,24
acá,24
poner,24
cama,24
volver,23
aparte,22
vida,22
hijo,21
capítulo,21
cabeza,21
comer,21
hacer,21
probar,19
entender,19
contar,18
noche,18
vuelta,18
sacar,18
leche,18
importante,18
cámara,18
cesárea,16
necesitar,16
buscar,15
estár,15
pensar,15
montón,15
usar,15
recomendar,15
fundamental,15
fórmula,15
único,15
terminar,15
colecho,15
terror,15
jugar,15
lugar,15
prober,13
intentar,13
loco,12
literalmente,12
video,12
faja,12
usé,12
cuerpo,12
caminar,12
pecho,12
enterar,12
entrar,12
realidad,12
super,12
conocer,12
obvio,12
stock,12
forma,12
tomar,12
normal,12
habitación,12
teléfono,12
aplicación,12
escribir,12
bañar,12
agarrar,12
encantar,12
fútbol,12
enfermera,12
sentar,10
vivir,9
primero,9
anécdota,9
contento,9
ayudar,9
mirar,9
costar,9
situación,9
salvar,9
ejemplo,9
panza,9
recomeir,9
entendés,9
bombacha,9
pasillo,9
año,9
éxito,9
distinto,9
buenísimo,9
duro,9
doler,9
preguntar,9
sobreproducción,9
experiencia,9
armar,9
diente,9
pijama,9
reir,9
emocionalmente,9
persona,9
cambiar,9
llorar,9
caer,9
aguantar,9
disfrutar,9
haber,9
tranquilo,9
papelón,9
andá,9
cuarto,9
ver él,9
idea,9
importar,9
chica,9
mamás,8
música,7
madre,7
faltar,7
abajo,6
red,6
generar,6
bienvenido,6
olvidar,6
llegada,6
muchísimo,6
saber,6
despertar,6
obviamente,6
noa,6
romper,6
semana,6
caso,6
volvía,6
auto,6
paz,6
sensación,6
rarísimo,6
contenido,6
mayoría,6
